# data_column_name,cf_standard_name,long_name,imos_vocabulary_name,unit_name,unit_short_name
# abundance,number_concentration_of_biological_taxon_in_sea_water,taxonomic level abundance,Abundance of biota,,
# area,,state/territory where the survey was conducted,,,
# avg_rugosity,,average roughness of the floor surface,,,
# biomass,,estimated biomass,,Grams,g
# block,,number of the block ,,,
# category,,sub-class of the annotation schema,,,
# class,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# common_class_name,,common name of the taxonomic rank,,,
# common_family_name,,common name of the taxonomic rank,,,
# common_name,,common name of the taxonomic rank,,,
# common_phylum_name,,common name of the taxonomic rank,,,
# country,,country where the survey was conducted,,,
# currents,,currents index,,,
# depth,depth,,Depth below surface of the water body,Metres,m                                                                                                             
# direction,,compass direction,True bearing,,
# ecoregion,,ecological region where the survey was conducted,,,
# family,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# frequency,,rarity index frequency of the species,,,
# genus,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# has pqs catalogued in db,,survey has Photos Quadrats catalogued in database,,,
# has pq scores in db,,survey has Photo Quadrat scores in database,,,
# has rugosity scores in db,,survey has rugosity scores in database,,,
# hour,time,local time of sample collection,,,
# latest surveydate for site,,latest survey date at the site,,,
# latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# lat_zone,,latitudinal zone (eg. tropical/temperate/polar),,,
# location,,city/council where the survey was conducted,,,
# longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# major_category,,class of the annotation schema,,,
# max_length,,maximum length of the species,,Centimetres,cm
# max_rugosity,,maximum roughness of the floor surface,,,
# method,,identifier for method applied to collect the observation,,,
# methods,,list of methods applied to collect the survey observations,,,
# mpa,,Marine Protected Area,,,
# num_points,,number of points associated to the observed item,,,
# old_site_codes,,previous codes of the site, now updated to [site_code],,,
# order,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# percent_cover,,percentage of the surface covered by the observed item,,Percent,%                                                                                                             
# phylum,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# pq_zip_url,,url for the Photo Quadrat zip file,,,
# program,,acronym identifying the program(s) - RLS or ATRC,,,
# programs,,acronym identifying the program(s) - RLS or ATRC,,,
# province,,ecological province where the survey was collected,,,
# quadrat,,Quadrat number,,,
# range,,rarity index range of the species,,Kilometres,km
# realm,,realm where the survey was conducted,,,
# recorded_species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# relief,,relief index,,,
# reporting_name,,reporting name for the observed species,,,
# resolution,,annotation schema,,,
# site_code,,code for the survey site,,,
# site_name,,name of the survey site,,,
# size_class,,size class,,Centimetres,cm
# slope,,slope index,,,
# species_id,,species identifier,,,
# species_name,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# superseded_ids,,species identifier of the superseded species,,,
# superseded_names,,name of the superseded species,,,
# surface,,type of substrate,,,
# survey_date,,local date,,Date,yyyy-mm-dd
# survey_id,,survey identification number,,,
# survey_latitude,latitude,,Latitude north,Degrees,deg                                                                                                           
# survey_longitude,longitude,,Longitude east,Degrees,deg                                                                                                           
# survey_notes,,additional notes about the survey,,,
# taxon,biological_taxon_name,identification of the biotic elements to the scientific classification group,Biotic taxonomic identification,,
# total,,total number of observations,,,
# total_points,,total number of point counted in the Quadrat,,,
# visibility,,the distance in water at which something can be seen,,Metres,m                                                                                                             
# wave_exposure,,wave exposure index,,,

FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_1826,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus lineatus,Acanthurus lineatus,25,15,4240.287,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_1827,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus striatus,Ctenochaetus striatus,20,25,5979.033,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_1828,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus lineatus,Acanthurus lineatus,25,8,2261.4866,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_1829,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus striatus,Ctenochaetus striatus,20,18,4304.904,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182a,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Paracirrhites arcatus,Paracirrhites arcatus,7.5,12,156.1113,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182b,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Labridae,Thalassoma quinquevittatum,Thalassoma quinquevittatum,7.5,32,324.2592,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182c,912341145,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,6,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Centropyge flavissima,Centropyge flavissima,5,5,36.8017,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182d,912341146,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,15,RLS,35,13:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus striatus,Ctenochaetus striatus,20,55,13153.873,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182e,912341146,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,15,RLS,35,13:00:00,,,1,1,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes fasciolatus,Stegastes fasciolatus,10,2,88.8727,POINT (-169.69000244140625 -14.170000076293945)
ep_m1_public_data.fid-7cdaa17e_183da9aa6f4_182f,912341146,American Samoa,Olosega,Samoa Islands,Eastern Indo-Pacific,American Samoa,PAC28,Foisia Island W,-14.17,-169.69,2012-08-18,15,RLS,35,13:00:00,,,1,2,Chordata,Actinopterygii,Perciformes,Pomacentridae,Dascyllus reticulatus,Dascyllus reticulatus,7.5,3,68.3592,POINT (-169.69000244140625 -14.170000076293945)
